#{"t_start": 1741909845.5149643, "env_id": "None"}
r,l,t
-158.139269,641,9119.235631
-189.40444,854,9133.886541
-174.858625,772,9147.102273
-90.317951,415,9154.592404
-79.801469,382,9161.118347
-171.937597,744,9174.034064
-106.549874,450,9185.812506
-185.861502,834,9200.756343
-90.461324,429,9208.044076
-177.500371,804,9222.141704
-63.971796,306,9227.535218
-185.02023,848,9242.097014
-131.065147,616,9252.72499
-80.506151,380,9259.364329
-206.282996,966,9276.46061
-148.212263,711,9288.948281
-212.854812,853,9304.128993
-120.04403,551,9313.608985
-183.982945,866,9328.84335
-204.789652,917,9344.93779
-108.009348,523,9354.332807
-82.922037,396,9362.427691
-112.836789,520,9371.489724
-183.460951,756,9384.761692
-197.623064,938,9401.172651
-64.780764,308,9406.470085
-141.752672,674,9417.827318
-69.541799,324,9423.359278
-199.803732,920,9439.014231
-119.405349,571,9448.374083
-56.805124,280,9452.91122
-104.171311,480,9461.191535
-115.613857,528,9470.212893
-205.944114,900,9485.80532
-77.345347,360,9492.158843
-189.905642,915,9507.933395
-152.603068,701,9520.352719
-75.868242,334,9526.012676
-94.532639,421,9533.306697
-15.812799,70,9535.809301
-144.156236,681,9548.425024
-99.976665,465,9556.237895
-111.643646,542,9566.019828
-60.228437,264,9570.287604
-65.224181,312,9575.917447
-92.79154,418,9583.093221
-164.861517,762,9596.189218
-108.438817,520,9605.370109
-124.389087,559,9615.076726
-115.358525,518,9624.198187
-115.003084,557,9633.612334
-189.385607,885,9649.464951
-121.872261,545,9659.10295
-67.935059,301,9664.382264
-131.289763,599,9675.176344
-60.885935,279,9679.944159
-189.754977,914,9695.950282
-194.377338,879,9713.454427
-136.133735,601,9723.896686
-86.905441,413,9731.066319
-82.565364,382,9737.682774
-91.606722,407,9744.836437
-66.918962,296,9749.8262
-123.684784,562,9759.632857
-65.281387,301,9764.69836
-114.63424,549,9774.069212
-200.098358,930,9789.64804
-79.340831,368,9795.709273
-130.603736,622,9806.059459
-84.338093,391,9812.560194
-185.440163,765,9825.620792
-67.494212,310,9830.681171
-158.075831,753,9843.827228
-136.346546,624,9855.019292
-140.428652,606,9865.517003
-150.108778,697,9877.729414
-109.434533,423,9886.646645
-75.723161,346,9892.476326
-60.942916,291,9897.822873
-90.953262,412,9905.010109
-76.815924,359,9911.234136
-56.664625,272,9915.976366
-207.469719,953,9932.976877
-153.409522,703,9945.407089
-140.969185,666,9956.792973
-140.162706,623,9967.81018
-174.358163,797,9981.922201
-82.221741,403,9988.653298
-120.544219,572,9998.939166
-183.726923,837,10013.53626
-72.669273,334,10019.56579
-193.402493,889,10035.11523
-98.91094,439,10042.885617
-135.61226,597,10053.634228
-106.08746,507,10065.37751
-140.04323,663,10076.973239
-140.48363,650,10088.496753
-83.074612,401,10095.506
-195.661481,896,10111.185008
-205.940598,823,10125.532969
-76.729329,350,10131.075042
-71.371091,292,10136.294936
-164.79329,704,10148.560825
-67.964803,305,10153.361623
-98.542536,485,10161.328302
-109.026515,530,10169.91414
-148.871696,703,10181.762279
-102.668362,458,10189.366955
-134.858462,629,10200.340664
-184.570495,869,10215.729525
-62.745327,288,10220.569826
-80.393309,375,10226.986137
-93.2529,443,10234.848048
-31.069525,136,10239.65405
-80.882601,369,10246.32143
-208.189784,975,10262.959155
-144.463625,674,10274.99346
-193.7938,842,10289.62238
-154.225995,721,10303.281936
-150.269621,647,10314.036724
-220.169207,975,10330.622463
-116.634131,542,10340.082578
-176.850479,850,10355.424225
-91.882336,437,10362.924928
-194.461256,747,10376.13131
-92.721595,410,10383.325186
-134.614062,620,10393.98339
-130.65085,576,10403.542595
-135.048674,615,10417.008001
-197.147611,903,10432.598727
-87.583334,393,10439.313095
-80.411044,395,10446.394644
-52.659079,256,10450.605711
-117.891387,555,10460.369941
-203.678053,865,10475.03496
-198.651882,961,10490.769888
-173.048324,807,10504.332904
-117.020084,511,10512.578969
-131.933085,612,10522.467373
-116.094572,535,10531.872522
-161.219946,733,10544.241163
-78.259595,379,10550.676936
-92.029075,446,10558.248985
-135.262623,577,10567.96343
-133.546626,635,10578.364245
-93.257273,437,10588.408513
-102.50773,460,10596.392064
-185.633863,866,10611.289068
-97.174262,460,10619.033124
-141.729294,625,10629.877935
-70.850334,322,10635.569289
-154.051527,741,10648.309351
-183.111831,833,10662.428772
-172.306048,780,10677.010317
-75.305245,366,10683.198784
-67.674644,311,10688.66399
-184.619815,801,10701.916588
-74.257616,339,10707.584985
-109.270656,507,10716.429144
-83.780278,405,10723.040956
-83.114347,389,10730.108632
-58.821952,285,10735.040491
-72.432771,324,10740.445219
-72.290674,343,10746.545952
-73.04071,340,10752.50776
-113.43569,503,10764.155885
-109.464601,530,10772.583921
-156.114361,672,10782.95081
-78.700486,377,10789.262389
-133.476738,622,10798.546769
-219.167634,907,10815.695846
-106.394617,510,10824.85522
-199.040755,944,10840.577545
-130.008643,605,10851.191765
-196.215016,904,10866.839396
-196.814056,890,10881.233269
-78.013514,374,10887.634019
-138.025908,589,10898.341181
-80.162883,388,10906.395093
-204.974739,940,10925.549363
-82.474194,397,10933.75507
-81.11384,351,10942.79612
-96.725858,469,10952.151081
-201.83201,919,10968.73813
-185.209077,877,10986.651128
-55.158473,251,10990.817384
-109.972719,466,10998.014629
-179.316456,806,11009.960496
-159.260992,729,11020.55795
-136.837673,534,11029.149896
-99.153879,446,11038.332901
-74.433443,358,11045.804157
-135.098072,610,11056.553484
-146.36938,693,11068.574709
-135.221161,564,11078.373387
-133.065748,636,11089.317115
-79.296034,370,11095.450094
-81.859454,336,11100.654203
-141.408699,640,11110.795976
-66.059358,296,11117.336004
-126.737303,587,11131.101428
-157.485702,724,11145.991902
-67.106416,310,11151.38469
-172.34825,829,11163.841235
-208.227565,899,11179.201438
-68.131713,303,11184.617514
-129.05333,624,11195.992842
-65.142971,311,11202.349724
-62.670082,304,11207.843551
-194.392581,850,11224.880339
-55.66607,257,11230.101765
-155.734816,665,11241.528651
-137.981343,597,11250.607519
-142.884029,646,11263.673796
